sec,lba,count
1011,5.E+07,0
1011,1.E+08,0
1011,1.E+08,0
1011,2.E+08,1
1011,2.E+08,0
1011,3.E+08,0
1011,3.E+08,0
1011,4.E+08,0
1011,4.E+08,0
1011,5.E+08,0
1029,5.E+07,0
1029,1.E+08,0
1029,1.E+08,0
1029,2.E+08,0
1029,2.E+08,0
1029,3.E+08,0
1029,3.E+08,0
1029,4.E+08,0
1029,4.E+08,0
1029,5.E+08,0
1030,5.E+07,0
1030,1.E+08,1
1030,1.E+08,0
1030,2.E+08,1
1030,2.E+08,0
1030,3.E+08,0
1030,3.E+08,0
1030,4.E+08,29
1030,4.E+08,0
1030,5.E+08,0
1034,5.E+07,126
1034,1.E+08,0
1034,1.E+08,0
1034,2.E+08,0
1034,2.E+08,0
1034,3.E+08,2
1034,3.E+08,0
1034,4.E+08,0
1034,4.E+08,0
1034,5.E+08,26
1035,5.E+07,72
1035,1.E+08,0
1035,1.E+08,0
1035,2.E+08,0
1035,2.E+08,0
1035,3.E+08,0
1035,3.E+08,0
1035,4.E+08,0
1035,4.E+08,0
1035,5.E+08,26
1039,5.E+07,1
1039,1.E+08,2
1039,1.E+08,1
1039,2.E+08,23
1039,2.E+08,40
1039,3.E+08,2
1039,3.E+08,2
1039,4.E+08,23
1039,4.E+08,0
1039,5.E+08,0
1040,5.E+07,1
1040,1.E+08,1
1040,1.E+08,0
1040,2.E+08,0
1040,2.E+08,0
1040,3.E+08,2
1040,3.E+08,0
1040,4.E+08,0
1040,4.E+08,0
1040,5.E+08,0
1041,5.E+07,7100
1041,1.E+08,0
1041,1.E+08,0
1041,2.E+08,0
1041,2.E+08,0
1041,3.E+08,0
1041,3.E+08,0
1041,4.E+08,1
1041,4.E+08,0
1041,5.E+08,0
1042,5.E+07,15992
1042,1.E+08,0
1042,1.E+08,0
1042,2.E+08,0
1042,2.E+08,0
1042,3.E+08,0
1042,3.E+08,0
1042,4.E+08,0
1042,4.E+08,0
1042,5.E+08,0
1043,5.E+07,5966
1043,1.E+08,0
1043,1.E+08,0
1043,2.E+08,0
1043,2.E+08,0
1043,3.E+08,0
1043,3.E+08,0
1043,4.E+08,0
1043,4.E+08,0
1043,5.E+08,0
1044,5.E+07,2948
1044,1.E+08,0
1044,1.E+08,0
1044,2.E+08,0
1044,2.E+08,0
1044,3.E+08,0
1044,3.E+08,0
1044,4.E+08,0
1044,4.E+08,0
1044,5.E+08,0
1045,5.E+07,3863
1045,1.E+08,0
1045,1.E+08,1
1045,2.E+08,0
1045,2.E+08,9
1045,3.E+08,2
1045,3.E+08,0
1045,4.E+08,0
1045,4.E+08,0
1045,5.E+08,0
1046,5.E+07,3197
1046,1.E+08,7
1046,1.E+08,7
1046,2.E+08,11
1046,2.E+08,29
1046,3.E+08,1
1046,3.E+08,1
1046,4.E+08,22
1046,4.E+08,14
1046,5.E+08,1
1047,5.E+07,12698
1047,1.E+08,0
1047,1.E+08,0
1047,2.E+08,0
1047,2.E+08,0
1047,3.E+08,0
1047,3.E+08,0
1047,4.E+08,0
