time,latency(us),0
1034,4819.1,51
1034,9638.2,18
1034,14457.3,13
1034,19276.4,15
1034,24095.5,11
1034,28914.6,9
1034,33733.7,8
1034,38552.8,3
1034,43371.9,0
1034,48191,0
1034,53010.1,0
1034,57829.2,0
1034,62648.3,0
1034,67467.4,0
1034,72286.5,0
1034,77105.6,0
1034,81924.7,0
1034,86743.8,0
1034,91562.9,0
1034,96382,0
1035,4819.1,44
1035,9638.2,11
1035,14457.3,3
1035,19276.4,4
1035,24095.5,4
1035,28914.6,2
1035,33733.7,4
1035,38552.8,3
1035,43371.9,0
1035,48191,0
1035,53010.1,0
1035,57829.2,0
1035,62648.3,0
1035,67467.4,0
1035,72286.5,0
1035,77105.6,0
1035,81924.7,0
1035,86743.8,0
1035,91562.9,0
1035,96382,0
1041,4819.1,6649
1041,9638.2,367
1041,14457.3,83
1041,19276.4,0
1041,24095.5,0
1041,28914.6,0
1041,33733.7,0
1041,38552.8,0
1041,43371.9,0
1041,48191,0
1041,53010.1,0
1041,57829.2,0
1041,62648.3,0
1041,67467.4,0
1041,72286.5,0
1041,77105.6,0
1041,81924.7,0
1041,86743.8,0
1041,91562.9,0
1041,96382,0
1042,4819.1,15096
1042,9638.2,771
1042,14457.3,125
1042,19276.4,0
1042,24095.5,0
1042,28914.6,0
1042,33733.7,0
1042,38552.8,0
1042,43371.9,0
1042,48191,0
1042,53010.1,0
1042,57829.2,0
1042,62648.3,0
1042,67467.4,0
1042,72286.5,0
1042,77105.6,0
1042,81924.7,0
1042,86743.8,0
1042,91562.9,0
1042,96382,0
1043,4819.1,3869
1043,9638.2,1015
1043,14457.3,615
1043,19276.4,231
1043,24095.5,99
1043,28914.6,55
1043,33733.7,19
1043,38552.8,4
1043,43371.9,2
1043,48191,15
1043,53010.1,8
1043,57829.2,14
1043,62648.3,17
1043,67467.4,3
1043,72286.5,0
1043,77105.6,0
1043,81924.7,0
1043,86743.8,0
1043,91562.9,0
1043,96382,0
1044,4819.1,1065
1044,9638.2,920
1044,14457.3,382
1044,19276.4,146
1044,24095.5,137
1044,28914.6,85
1044,33733.7,27
1044,38552.8,25
1044,43371.9,35
1044,48191,32
1044,53010.1,19
1044,57829.2,17
1044,62648.3,13
1044,67467.4,7
1044,72286.5,18
1044,77105.6,2
1044,81924.7,3
1044,86743.8,3
1044,91562.9,3
1044,96382,9
1045,4819.1,1808
1045,9638.2,929
1045,14457.3,639
1045,19276.4,240
1045,24095.5,103
1045,28914.6,30
1045,33733.7,18
1045,38552.8,29
1045,43371.9,5
1045,48191,3
1045,53010.1,4
1045,57829.2,9
1045,62648.3,6
1045,67467.4,16
1045,72286.5,4
1045,77105.6,2
1045,81924.7,9
1045,86743.8,2
1045,91562.9,7
1045,96382,0
1046,4819.1,1112
1046,9638.2,934
1046,14457.3,488
1046,19276.4,288
1046,24095.5,169
1046,28914.6,55
1046,33733.7,23
1046,38552.8,61
1046,43371.9,18
1046,48191,14
1046,53010.1,12
1046,57829.2,10
1046,62648.3,3
1046,67467.4,0
1046,72286.5,0
1046,77105.6,0
1046,81924.7,0
1046,86743.8,0
1046,91562.9,0
1046,96382,0
1047,4819.1,11541
1047,9638.2,750
1047,14457.3,254
1047,19276.4,40
1047,24095.5,12
1047,28914.6,13
1047,33733.7,21
1047,38552.8,4
1047,43371.9,10
1047,48191,7
1047,53010.1,4
1047,57829.2,12
1047,62648.3,7
1047,67467.4,4
1047,72286.5,7
1047,77105.6,6
1047,81924.7,6
1047,86743.8,0
1047,91562.9,0
1047,96382,0
1048,4819.1,16125
1048,9638.2,947
1048,14457.3,179
1048,19276.4,0
1048,24095.5,0
1048,28914.6,0
1048,33733.7,0
1048,38552.8,0
1048,43371.9,0
1048,48191,0
1048,53010.1,0
1048,57829.2,0
1048,62648.3,0
1048,67467.4,0
1048,72286.5,0
1048,77105.6,0
1048,81924.7,0
1048,86743.8,0
1048,91562.9,0
1048,96382,0
1049,4819.1,17454
1049,9638.2,629
1049,14457.3,138
1049,19276.4,0
1049,24095.5,0
1049,28914.6,0
1049,33733.7,0
1049,38552.8,0
1049,43371.9,0
1049,48191,0
1049,53010.1,0
1049,57829.2,0
1049,62648.3,0
1049,67467.4,0
1049,72286.5,0
1049,77105.6,0
1049,81924.7,0
1049,86743.8,0
1049,91562.9,0
1049,96382,0
1050,4819.1,13072
1050,9638.2,976
1050,14457.3,165
1050,19276.4,0
1050,24095.5,0
1050,28914.6,0
1050,33733.7,0
1050,38552.8,0
1050,43371.9,0
1050,48191,0
1050,53010.1,0
1050,57829.2,0
1050,62648.3,0
1050,67467.4,0
1050,72286.5,0
1050,77105.6,0
1050,81924.7,0
1050,86743.8,0
1050,91562.9,0
1050,96382,0
1051,4819.1,9569
1051,9638.2,1335
1051,14457.3,236
1051,19276.4,29
1051,24095.5,0
1051,28914.6,0
1051,33733.7,0
1051,38552.8,0
1051,43371.9,0
1051,48191,0
1051,53010.1,0
1051,57829.2,0
1051,62648.3,0
1051,67467.4,0
1051,72286.5,0
1051,77105.6,0
1051,81924.7,0
1051,86743.8,0
1051,91562.9,0
1051,96382,0
1052,4819.1,9665
1052,9638.2,1373
1052,14457.3,185
1052,19276.4,34
1052,24095.5,17
1052,28914.6,13
1052,33733.7,0
1052,38552.8,0
1052,43371.9,0
1052,48191,0
1052,53010.1,0
1052,57829.2,0
1052,62648.3,0
1052,67467.4,0
1052,72286.5,0
1052,77105.6,0
1052,81924.7,0
1052,86743.8,0
1052,91562.9,0
1052,96382,0
1053,4819.1,12029
1053,9638.2,984
1053,14457.3,333
1053,19276.4,10
1053,24095.5,0
1053,28914.6,0
1053,33733.7,0
1053,38552.8,0
1053,43371.9,0
1053,48191,0
1053,53010.1,0
1053,57829.2,0
1053,62648.3,0
1053,67467.4,0
1053,72286.5,0
1053,77105.6,0
1053,81924.7,0
1053,86743.8,0
1053,91562.9,0
1053,96382,0
1054,4819.1,14044
1054,9638.2,1079
1054,14457.3,217
1054,19276.4,23
1054,24095.5,4
1054,28914.6,0
1054,33733.7,0
1054,38552.8,0
1054,43371.9,0
1054,48191,0
1054,53010.1,0
1054,57829.2,0
1054,62648.3,0
1054,67467.4,0
1054,72286.5,0
1054,77105.6,0
1054,81924.7,0
1054,86743.8,0
1054,91562.9,0
1054,96382,0
1055,4819.1,25901
1055,9638.2,675
1055,14457.3,33
1055,19276.4,0
1055,24095.5,0
1055,28914.6,0
1055,33733.7,0
1055,38552.8,0
1055,43371.9,0
1055,48191,0
1055,53010.1,0
1055,57829.2,0
1055,62648.3,0
1055,67467.4,0
1055,72286.5,0
1055,77105.6,0
1055,81924.7,0
1055,86743.8,0
1055,91562.9,0
1055,96382,0
1056,4819.1,17085
1056,9638.2,1539
1056,14457.3,164
1056,19276.4,8
1056,24095.5,0
1056,28914.6,0
1056,33733.7,0
1056,38552.8,0
1056,43371.9,0
1056,48191,0
1056,53010.1,0
1056,57829.2,0
1056,62648.3,0
1056,67467.4,0
1056,72286.5,0
1056,77105.6,0
1056,81924.7,0
1056,86743.8,0
1056,91562.9,0
1056,96382,0
1057,4819.1,12193
1057,9638.2,1611
1057,14457.3,450
1057,19276.4,45
1057,24095.5,31
1057,28914.6,0
1057,33733.7,0
1057,38552.8,0
1057,43371.9,0
1057,48191,0
1057,53010.1,0
1057,57829.2,0
1057,62648.3,0
