time,lba,count
1034,2621378,125
1034,5242756,0
1034,7864134,0
1034,10485512,0
1034,13106890,0
1034,15728268,0
1034,18349646,0
1034,20971024,0
1034,23592402,0
1034,26213780,0
1034,28835158,0
1034,31456536,0
1034,34077914,0
1034,36699292,0
1034,39320670,0
1034,41942048,0
1034,44563426,0
1034,47184804,0
1034,49806182,0
1034,52427560,0
1035,2621378,72
1035,5242756,0
1035,7864134,0
1035,10485512,0
1035,13106890,0
1035,15728268,0
1035,18349646,0
1035,20971024,0
1035,23592402,0
1035,26213780,0
1035,28835158,0
1035,31456536,0
1035,34077914,0
1035,36699292,0
1035,39320670,0
1035,41942048,0
1035,44563426,0
1035,47184804,0
1035,49806182,0
1035,52427560,0
1041,2621378,0
1041,5242756,0
1041,7864134,0
1041,10485512,0
1041,13106890,0
1041,15728268,0
1041,18349646,0
1041,20971024,0
1041,23592402,0
1041,26213780,0
1041,28835158,7099
1041,31456536,0
1041,34077914,0
1041,36699292,0
1041,39320670,0
1041,41942048,0
1041,44563426,0
1041,47184804,0
1041,49806182,0
1041,52427560,0
1042,2621378,0
1042,5242756,0
1042,7864134,0
1042,10485512,0
1042,13106890,0
1042,15728268,0
1042,18349646,0
1042,20971024,0
1042,23592402,0
1042,26213780,0
1042,28835158,15992
1042,31456536,0
1042,34077914,0
1042,36699292,0
1042,39320670,0
1042,41942048,0
1042,44563426,0
1042,47184804,0
1042,49806182,0
1042,52427560,0
1043,2621378,0
1043,5242756,0
1043,7864134,0
1043,10485512,0
1043,13106890,0
1043,15728268,0
1043,18349646,0
1043,20971024,0
1043,23592402,0
1043,26213780,0
1043,28835158,5966
1043,31456536,0
1043,34077914,0
1043,36699292,0
1043,39320670,0
1043,41942048,0
1043,44563426,0
1043,47184804,0
1043,49806182,0
1043,52427560,0
1044,2621378,0
1044,5242756,0
1044,7864134,0
1044,10485512,0
1044,13106890,0
1044,15728268,0
1044,18349646,0
1044,20971024,0
1044,23592402,0
1044,26213780,0
1044,28835158,2948
1044,31456536,0
1044,34077914,0
1044,36699292,0
1044,39320670,0
1044,41942048,0
1044,44563426,0
1044,47184804,0
1044,49806182,0
1044,52427560,0
1045,2621378,0
1045,5242756,0
1045,7864134,0
1045,10485512,0
1045,13106890,0
1045,15728268,0
1045,18349646,0
1045,20971024,0
1045,23592402,0
1045,26213780,0
1045,28835158,1578
1045,31456536,2285
1045,34077914,0
1045,36699292,0
1045,39320670,0
1045,41942048,0
1045,44563426,0
1045,47184804,0
1045,49806182,0
1045,52427560,0
1046,2621378,0
1046,5242756,0
1046,7864134,0
1046,10485512,0
1046,13106890,0
1046,15728268,0
1046,18349646,0
1046,20971024,0
1046,23592402,0
1046,26213780,0
1046,28835158,0
1046,31456536,3187
1046,34077914,0
1046,36699292,0
1046,39320670,0
1046,41942048,0
1046,44563426,0
1046,47184804,0
1046,49806182,0
1046,52427560,0
1047,2621378,0
1047,5242756,0
1047,7864134,0
1047,10485512,0
1047,13106890,0
1047,15728268,0
1047,18349646,0
1047,20971024,0
1047,23592402,0
1047,26213780,0
1047,28835158,0
1047,31456536,12698
1047,34077914,0
1047,36699292,0
1047,39320670,0
1047,41942048,0
1047,44563426,0
1047,47184804,0
1047,49806182,0
1047,52427560,0
1048,2621378,0
1048,5242756,0
1048,7864134,0
1048,10485512,0
1048,13106890,0
1048,15728268,0
1048,18349646,0
1048,20971024,0
1048,23592402,0
1048,26213780,0
1048,28835158,0
1048,31456536,17251
1048,34077914,0
1048,36699292,0
1048,39320670,0
1048,41942048,0
