time,queue_cnt,0
1034,1,0
1034,2,0
1034,3,0
1034,4,0
1034,5,0
1034,6,0
1034,7,0
1034,8,0
1034,9,0
1034,10,0
1034,11,0
1034,12,0
1034,13,0
1034,14,0
1034,15,0
1034,16,0
1034,17,0
1034,18,0
1034,19,0
1034,20,0
1034,21,0
1034,22,0
1034,23,0
1034,24,0
1034,25,0
1034,26,0
1034,27,0
1034,28,0
1034,29,0
1034,30,0
1034,31,0
1034,32,128
1035,1,0
1035,2,0
1035,3,0
1035,4,0
1035,5,0
1035,6,0
1035,7,0
1035,8,0
1035,9,0
1035,10,0
1035,11,7
1035,12,2
1035,13,25
1035,14,3
1035,15,1
1035,16,0
1035,17,0
1035,18,0
1035,19,0
1035,20,0
1035,21,8
1035,22,2
1035,23,0
1035,24,0
1035,25,0
1035,26,0
1035,27,0
1035,28,0
1035,29,0
1035,30,0
1035,31,0
1035,32,27
1041,1,0
1041,2,0
1041,3,0
1041,4,0
1041,5,0
1041,6,0
1041,7,0
1041,8,0
1041,9,0
1041,10,0
1041,11,1
1041,12,1
1041,13,1
1041,14,1
1041,15,1
1041,16,1
1041,17,1
1041,18,1
1041,19,1
1041,20,1
1041,21,1
1041,22,1
1041,23,1
1041,24,1
1041,25,1
1041,26,1
1041,27,1
1041,28,1
1041,29,1
1041,30,1
1041,31,3
1041,32,7076
1042,1,0
1042,2,0
1042,3,0
1042,4,0
1042,5,0
1042,6,0
1042,7,0
1042,8,0
1042,9,0
1042,10,0
1042,11,0
1042,12,0
1042,13,0
1042,14,0
1042,15,0
1042,16,0
1042,17,0
1042,18,0
1042,19,0
1042,20,0
1042,21,0
1042,22,0
1042,23,0
1042,24,0
1042,25,0
1042,26,0
1042,27,1
1042,28,1
1042,29,1
1042,30,2
1042,31,2
1042,32,15985
1043,1,0
1043,2,0
1043,3,0
1043,4,0
1043,5,0
1043,6,0
1043,7,0
1043,8,0
1043,9,0
1043,10,0
1043,11,0
1043,12,0
1043,13,0
1043,14,0
1043,15,0
1043,16,0
1043,17,0
1043,18,0
1043,19,0
1043,20,0
1043,21,0
1043,22,0
1043,23,0
1043,24,0
1043,25,0
1043,26,0
1043,27,0
1043,28,1
1043,29,2
1043,30,3
1043,31,3
1043,32,5957
1044,1,0
1044,2,0
1044,3,0
1044,4,0
1044,5,0
1044,6,0
1044,7,0
1044,8,0
1044,9,0
1044,10,0
1044,11,0
1044,12,0
1044,13,0
1044,14,0
1044,15,0
1044,16,0
1044,17,0
1044,18,0
1044,19,0
1044,20,0
1044,21,0
1044,22,0
1044,23,0
1044,24,0
1044,25,0
1044,26,0
1044,27,1
1044,28,1
1044,29,2
1044,30,2
1044,31,4
1044,32,2938
1045,1,0
1045,2,0
1045,3,0
1045,4,0
1045,5,0
1045,6,0
1045,7,0
1045,8,0
1045,9,0
1045,10,0
1045,11,0
1045,12,0
1045,13,0
1045,14,0
1045,15,0
1045,16,0
1045,17,0
1045,18,0
1045,19,0
1045,20,1
1045,21,1
1045,22,1
1045,23,1
1045,24,1
1045,25,1
1045,26,1
1045,27,2
1045,28,1
1045,29,3
1045,30,8
1045,31,10
1045,32,3832
1046,1,0
1046,2,0
1046,3,0
1046,4,0
1046,5,0
1046,6,0
1046,7,0
1046,8,0
1046,9,0
1046,10,0
1046,11,0
1046,12,0
1046,13,0
1046,14,0
1046,15,0
1046,16,0
1046,17,0
1046,18,0
1046,19,0
1046,20,0
1046,21,0
1046,22,0
1046,23,0
1046,24,0
1046,25,1
1046,26,1
1046,27,1
1046,28,1
1046,29,1
1046,30,3
1046,31,5
1046,32,3174
1047,1,0
1047,2,0
1047,3,0
1047,4,0
1047,5,0
1047,6,0
1047,7,0
1047,8,0
1047,9,0
1047,10,0
1047,11,0
1047,12,0
1047,13,0
1047,14,1
1047,15,1
1047,16,1
1047,17,1
1047,18,1
1047,19,1
1047,20,1
1047,21,1
1047,22,1
1047,23,1
1047,24,3
1047,25,3
1047,26,4
1047,27,5
1047,28,3
1047,29,5
1047,30,4
1047,31,4
1047,32,12657
1048,1,0
1048,2,0
1048,3,0
1048,4,0
1048,5,0
1048,6,0
1048,7,0
1048,8,0
1048,9,0
1048,10,0
1048,11,0
1048,12,0
1048,13,0
1048,14,0
1048,15,0
1048,16,0
1048,17,0
1048,18,0
1048,19,0
1048,20,0
1048,21,0
1048,22,2
1048,23,3
1048,24,6
1048,25,5
1048,26,3
1048,27,3
1048,28,4
1048,29,4
1048,30,4
1048,31,7
1048,32,17210
1049,1,0
1049,2,0
1049,3,0
1049,4,0
1049,5,0
1049,6,0
1049,7,0
1049,8,0
1049,9,0
1049,10,0
1049,11,0
1049,12,0
1049,13,0
1049,14,0
1049,15,0
1049,16,0
1049,17,0
1049,18,0
1049,19,0
1049,20,0
1049,21,0
1049,22,0
1049,23,1
1049,24,1
1049,25,1
1049,26,1
1049,27,1
1049,28,1
1049,29,1
1049,30,5
1049,31,5
1049,32,18204
1050,1,0
1050,2,0
1050,3,0
1050,4,0
1050,5,0
1050,6,0
1050,7,0
1050,8,0
1050,9,0
1050,10,0
1050,11,0
1050,12,0
1050,13,0
1050,14,0
1050,15,0
1050,16,0
1050,17,0
1050,18,0
1050,19,0
1050,20,0
1050,21,0
1050,22,0
1050,23,0
1050,24,0
1050,25,0
1050,26,1
1050,27,2
1050,28,2
1050,29,4
1050,30,5
1050,31,5
1050,32,14194
1051,1,0
1051,2,0
1051,3,0
1051,4,0
1051,5,0
1051,6,0
1051,7,0
1051,8,0
1051,9,0
1051,10,0
1051,11,0
1051,12,0
1051,13,0
1051,14,0
1051,15,0
1051,16,0
1051,17,0
1051,18,0
1051,19,0
1051,20,0
1051,21,0
1051,22,0
1051,23,0
1051,24,0
1051,25,0
1051,26,0
1051,27,0
1051,28,0
1051,29,1
1051,30,1
1051,31,2
1051,32,11165
1052,1,0
1052,2,0
1052,3,0
1052,4,0
1052,5,0
1052,6,0
1052,7,0
1052,8,0
1052,9,0
1052,10,0
1052,11,0
1052,12,0
1052,13,0
1052,14,0
1052,15,0
1052,16,0
1052,17,0
1052,18,0
1052,19,0
1052,20,0
1052,21,0
1052,22,0
1052,23,0
1052,24,1
1052,25,1
1052,26,1
