time,idx,issue_time,cmd_type,lba,size(KB),latency(us),queue_cnt,cpu_no,host_no,tag,nextlba,continuity,lt99,lt99_99,lt99_9999,lt100,throughput
1034,243,1034.979992,WRITE_10,364544,672,35981,32,4,0,31,364552,1,34599,35981,35981,35981,49112
1035,318,1035.215214,WRITE_10,372736,672,36930,32,7,0,31,372744,1,35057,36930,36930,36930,18656
1041,7417,1041.999997,WRITE_10,26681800,1280,14251,32,7,0,31,26682216,1,10448,14234,14251,14251,145708
1042,23409,1042.999481,WRITE_10,27339712,1280,13142,32,7,0,31,27339720,1,9238,13128,13142,13142,328760
1043,29375,1043.99957,WRITE_10,28010904,1280,63276,32,7,0,31,28010912,1,38213,63141,63276,63276,335632
1044,32323,1044.998834,WRITE_10,28681456,1280,96382,32,7,0,31,28681480,1,70057,96382,96382,96382,335328
1045,36186,1045.99946,WRITE_10,29333272,1280,88946,32,6,0,31,29333288,1,63077,88946,88946,88946,325676
1046,39373,1046.999953,WRITE_10,29976360,1280,59285,32,7,0,31,29976512,1,45606,59285,59285,59285,321668
1047,52071,1047.998814,WRITE_10,30627968,1280,79725,32,7,0,31,30627984,1,17382,79483,79725,79725,325772
1048,69322,1048.999895,WRITE_10,31282512,1280,13854,32,7,0,31,31282520,1,9777,13850,13854,13854,327396
1049,87543,1049.999973,WRITE_10,31940072,1280,13780,32,7,0,31,31940080,1,9221,13731,13780,13780,328812
1050,101756,1050.999506,WRITE_10,32602288,1280,13440,32,7,0,31,32602544,1,10244,12939,13440,13440,331864
1051,112925,1051.999794,WRITE_10,33252544,1280,15560,32,7,0,31,33252952,1,12190,15550,15560,15560,325904
1052,124212,1052.998496,WRITE_10,33914440,1280,25740,32,7,0,31,33914792,1,11854,25654,25740,25740,331472
1053,137568,1053.999596,WRITE_10,34536160,1280,16381,32,7,0,31,34536168,1,11078,16229,16381,16381,325352
1054,152935,1054.999958,WRITE_10,34882144,1280,20790,32,7,0,31,34882400,1,10556,19300,20790,20790,310096
1055,179544,1055.999955,WRITE_10,34883856,1280,11123,32,7,0,31,34885256,1,6394,11102,11123,11123,331436
1056,198340,1056.998779,WRITE_10,28707120,1280,17032,32,7,0,31,28707128,1,9463,16589,17032,17032,329972
1057,212670,1057.999027,WRITE_10,29259288,1280,23238,32,7,0,31,29259296,1,13023,23206,23238,23238,330568
1058,227927,1058.999999,WRITE_10,30028960,1280,22113,32,7,0,31,30029184,1,12847,22092,22113,22113,318412
1059,243133,1059.998922,WRITE_10,30496992,1280,19334,32,7,0,31,30497080,1,11559,18707,19334,19334,328540
1060,264976,1060.999871,WRITE_10,34915344,1280,16611,32,7,0,31,34915872,1,8843,16572,16611,16611,328344
1061,285922,1061.99882,WRITE_10,31423496,1280,12802,32,7,0,31,31423520,1,5353,12795,12802,12802,211776
1062,296058,1062.996474,WRITE_10,451960,4,345,11,6,0,31,451968,1,88,125,345,345,40544
1063,305763,1063.999929,WRITE_10,496336,4,325,11,7,0,31,496344,1,96,237,325,325,38820
1064,314465,1064.99991,WRITE_10,536120,4,348,11,6,0,31,536128,1,89,328,348,348,34808
1065,323723,1065.996619,WRITE_10,578456,4,331,11,7,0,31,578464,1,92,151,331,331,37032
1066,332981,1066.999998,WRITE_10,620784,4,358,11,7,0,31,620792,1,92,125,358,358,37032
1067,360117,1067.999238,WRITE_10,27257416,1280,8354,32,7,0,31,27257424,1,5885,8110,8354,8354,315672
1068,381994,1068.999039,WRITE_10,28355576,1280,21520,32,7,0,31,28355832,1,8883,20515,21520,21520,332428
1069,400361,1069.999986,WRITE_10,29034632,1280,18510,32,7,0,31,29034640,1,10265,16667,18510,18510,327824
1070,415482,1070.998543,WRITE_10,29810224,1280,17725,32,7,0,31,29810232,1,12214,17164,17725,17725,323724
1071,428269,1071.997566,WRITE_10,30379424,1280,21992,32,7,0,31,30379432,1,12921,21745,21992,21992,323864
1072,447435,1072.999987,WRITE_10,30864080,1280,16775,32,7,0,31,30864688,1,11453,16764,16775,16775,328160
1073,473723,1073.998837,WRITE_10,31491912,1280,15324,32,7,0,31,31491920,1,6861,13114,15324,15324,328828
1074,503693,1074.996825,WRITE_10,32166520,1280,8602,32,7,0,31,32166528,1,4743,8268,8602,8602,332424
1075,531333,1075.997866,WRITE_10,34939936,1280,18568,32,7,0,31,34940448,1,6216,18521,18568,18568,330136
1076,561603,1076.998474,WRITE_10,33386848,1280,10769,32,7,0,31,33386856,1,5080,8566,10769,10769,331728
1077,591841,1077.999984,WRITE_10,34085568,1280,11499,32,7,0,31,34085576,1,6081,11484,11499,11499,332708
1078,618062,1078.996405,WRITE_10,34690368,1280,14854,32,7,0,31,34691136,1,7406,13889,14854,14854,332468
1079,642064,1079.99915,WRITE_10,34852712,1280,11260,32,7,0,31,34852720,1,6683,11256,11260,11260,331884
1080,664182,1080.999932,WRITE_10,34946096,1280,16381,32,7,0,31,34947352,1,7920,16360,16381,16381,329452
1081,687329,1081.997871,WRITE_10,28762040,1280,18885,32,7,0,31,28762048,1,9877,18872,18885,18885,334192
1082,703038,1082.999408,WRITE_10,29769704,1280,19809,32,7,0,31,29769712,1,12305,18829,19809,19809,328776
1083,719000,1083.999751,WRITE_10,30432680,1280,32066,32,7,0,31,30432688,1,11606,31976,32066,32066,324936
1084,734988,1084.999981,WRITE_10,30846048,1280,18104,32,7,0,31,30846056,1,10939,18077,18104,18104,330320
1085,754001,1085.999998,WRITE_10,34947352,1280,14732,32,7,0,31,34948424,1,9303,14494,14732,14732,333164
1086,783072,1086.999892,WRITE_10,31957712,1280,10710,32,7,0,31,31957720,1,6603,10626,10710,10710,334008
1087,798482,1087.999952,WRITE_10,32006384,1280,6923,32,7,0,31,32006616,1,4132,6887,6923,6923,88292
1088,813792,1088.999975,WRITE_10,785720,4,118,11,7,0,31,785728,1,36,107,118,118,61240
1089,831618,1089.999974,WRITE_10,867272,4,142,9,7,0,31,867280,1,35,109,142,142,71304
1090,849567,1090.999987,WRITE_10,949400,4,159,9,7,0,31,949408,1,35,89,159,159,71796
1091,866810,1091.999985,WRITE_10,1028264,4,166,9,7,0,31,1028272,1,35,118,166,166,68968
1092,884035,1092.999948,WRITE_10,1107008,4,166,9,7,0,31,1107016,1,35,123,166,166,68900
1093,901175,1093.999964,WRITE_10,1185368,4,153,9,7,0,31,1185376,1,35,123,153,153,68560
1094,918702,1094.999968,WRITE_10,1265512,4,125,9,7,0,31,1265520,1,35,123,125,125,70108
1095,936551,1095.999989,WRITE_10,1347176,4,96,9,7,0,31,1347184,1,35,95,96,96,71396
1096,954385,1096.999979,WRITE_10,1428816,4,133,9,7,0,31,1428824,1,35,82,133,133,71336
1097,969417,1097.995781,WRITE_10,1497624,4,181,9,7,0,31,1497632,1,35,95,181,181,60128
1098,980794,1098.999768,WRITE_10,1549640,4,232,9,7,0,31,1549648,1,37,113,232,232,45508
1099,986021,1099.999977,WRITE_10,35223384,1280,17659,32,7,0,31,35224616,1,7136,17331,17659,17659,176588
1100,990261,1100.999997,WRITE_10,35635480,1280,21049,15,5,0,31,35636504,1,7482,21049,21049,21049,221640
1101,995011,1101.999802,WRITE_10,1632232,4,106,9,6,0,31,1632240,1,39,106,106,106,19000
1102,995770,1102.994244,WRITE_10,36240664,1280,96014,32,5,0,31,36243224,1,90041,96014,96014,96014,305448
1103,1000654,1103.932904,WRITE_10,36454080,1280,92209,32,6,0,31,36456640,1,33110,92209,92209,92209,125908
1104,1005253,1104.979764,WRITE_10,36794976,1280,94169,32,6,0,31,36797536,1,54135,94169,94169,94169,188308
1105,1008864,1105.999836,WRITE_10,37173856,1280,94075,32,7,0,31,37174272,1,69694,94075,94075,94075,202220
1106,1014906,1106.999958,WRITE_10,37481512,1280,92463,32,7,0,31,37482976,1,48048,90609,92463,92463,179056
1107,1071896,1107.999959,WRITE_10,37482960,8,2645,32,7,0,31,37482968,1,987,2109,2645,2645,227968
1108,1133823,1108.999999,WRITE_10,37482960,8,2813,32,7,0,31,37482968,1,897,2630,2813,2813,247700
1109,1201168,1109.999986,WRITE_10,37482960,8,2124,32,7,0,31,37482968,1,1192,1956,2124,2124,269388
1110,1284652,1110.999992,WRITE_10,37482952,8,2602,32,7,0,31,37482960,0,1332,2125,2602,2602,333920
1111,1367835,1111.999997,WRITE_10,37482968,8,2595,32,7,0,31,37482976,1,1303,2326,2595,2595,332744
1112,1450236,1112.99999,WRITE_10,37482960,8,2548,32,7,0,31,37482968,0,1382,2455,2548,2548,329680
1113,1534107,1113.999984,WRITE_10,37482944,8,2720,32,7,0,31,37482952,0,1246,2295,2720,2720,335508
1114,1617627,1114.999998,WRITE_10,37482928,8,2782,32,7,0,31,37482936,1,1329,2455,2782,2782,334096
1115,1695097,1115.99999,WRITE_10,37482952,8,2403,32,7,0,31,37482960,1,1421,2203,2403,2403,309872
1116,1754731,1116.999637,WRITE_10,37482856,8,2617,32,7,0,31,37482864,1,849,2337,2617,2617,238552
1117,1817305,1117.999968,WRITE_10,37482936,8,2533,32,7,0,31,37482944,1,904,2334,2533,2533,250304
1118,1885213,1118.999986,WRITE_10,37482920,8,2279,32,7,0,31,37482928,1,1051,2021,2279,2279,271640
1119,1967962,1119.999974,WRITE_10,37482944,8,2785,32,7,0,31,37482952,0,1363,2176,2785,2785,331000
1120,2051294,1120.999993,WRITE_10,37482888,8,2595,32,7,0,31,37482896,0,1290,2488,2595,2595,333348
1121,2128719,1121.999978,WRITE_10,37482968,8,2636,32,7,0,31,37482976,1,1275,2412,2636,2636,309716
1122,2184231,1122.999987,WRITE_10,37482968,8,2010,32,7,0,31,37482976,1,796,1822,2010,2010,222044
1123,2240000,1123.999891,WRITE_10,37482944,4,2749,32,7,0,31,37482952,1,852,2565,2749,2749,223064
1124,2296223,1124.999999,WRITE_10,37482944,8,2639,32,7,0,31,37482952,1,829,2530,2639,2639,224896
1125,2354250,1125.999987,WRITE_10,37482920,8,2164,32,7,0,31,37482928,1,999,1955,2164,2164,232112
1126,2408795,1126.99999,WRITE_10,37495584,1280,6989,32,7,0,31,37497648,1,903,6965,6989,6989,225480
1127,2429219,1127.999971,WRITE_10,37482968,4,1800,32,7,0,31,37482976,1,620,1694,1800,1800,81696
1128,2446940,1128.999969,WRITE_10,2145232,4,99,9,6,0,31,2145240,1,35,82,99,99,70884
1129,2464752,1129.999955,WRITE_10,2226752,4,116,9,6,0,31,2226760,1,35,96,116,116,71248
1130,2482589,1130.999951,WRITE_10,2308360,4,112,9,7,0,31,2308368,1,36,97,112,112,71348
1131,2499836,1131.999966,WRITE_10,37520640,604,1167,11,7,0,31,37521808,1,39,1131,1167,1167,80940
1132,2517239,1132.999972,WRITE_10,2466624,4,133,9,7,0,31,2466632,1,35,123,133,133,69612
1133,2533985,1133.999948,WRITE_10,2543176,4,197,9,7,0,31,2543184,1,35,126,197,197,66984
1134,2551322,1134.999973,WRITE_10,2622432,4,126,9,7,0,31,2622440,1,35,124,126,126,69348
