idx,issue_time,comp_time,cmd_type,lba,size(KB),latency(us),queue_cnt,cpu_no,host_no,tag,nextlba,continuity
1,3031.044846,3031.046224,WRITE_10,4327424,696,1378,1,000,1,4,4328816,0
2,3031.045100,3031.046870,WRITE_10,4328816,352,1770,2,000,1,5,4329520,1
3,3031.045106,3031.048188,WRITE_10,4329520,672,3082,3,000,1,6,4330864,1
4,3031.045365,3031.048817,WRITE_10,4330864,352,3452,4,000,1,7,4331568,1
5,3031.048854,3031.050213,WRITE_10,4331568,676,1359,1,000,1,8,4332920,1
6,3031.049128,3031.050848,WRITE_10,4332920,352,1720,2,000,1,9,4333624,1
7,3031.049133,3031.052144,WRITE_10,4333624,680,3011,3,000,1,10,4334984,1
8,3031.049390,3031.052812,WRITE_10,4334984,352,3422,4,000,1,11,4335688,1
9,3031.052845,3031.054194,WRITE_10,4335688,672,1349,1,000,1,13,4337032,1
10,3031.053193,3031.054831,WRITE_10,4337032,352,1638,2,000,1,14,4337736,1
11,3031.053199,3031.056158,WRITE_10,4337736,672,2959,3,000,1,15,4339080,1
12,3031.053657,3031.057030,WRITE_10,4339080,480,3373,4,000,1,16,4340040,1
13,3031.057066,3031.059566,WRITE_10,4340040,1280,2500,1,000,1,17,4342600,1
14,3031.057838,3031.060677,WRITE_10,4342600,604,2839,2,000,1,18,4343808,1
15,3031.057845,3031.063159,WRITE_10,4360192,1280,5314,3,000,1,19,4362752,0
16,3031.057965,3031.064770,WRITE_10,4362752,844,6805,4,000,1,20,4364440,1
17,3031.064862,3031.065775,WRITE_10,4364440,464,913,1,000,1,21,4365368,1
18,3031.137555,3031.137663,WRITE_10,13448360,4,108,1,006,1,13,13448368,0
19,3031.137806,3031.137949,WRITE_10,248816304,68,143,1,000,1,22,248816440,0
20,3031.137984,3031.138754,SYNCHRONIZE_CACHE,0,0,770,1,000,1,23,0,0
21,3031.138769,3031.138789,WRITE_10,248816440,4,20,1,002,1,3,248816448,0
22,3031.138798,3031.139453,SYNCHRONIZE_CACHE,0,0,655,1,002,1,4,0,0
23,3031.139686,3031.139774,WRITE_10,248816448,40,88,1,002,1,5,248816528,0
24,3031.139799,3031.140499,SYNCHRONIZE_CACHE,0,0,700,1,002,1,6,0,0
25,3031.140506,3031.140526,WRITE_10,248816528,4,20,1,002,1,7,248816536,0
26,3031.140531,3031.141184,SYNCHRONIZE_CACHE,0,0,653,1,002,1,8,0,0
27,3031.141367,3031.141389,WRITE_10,13448368,4,22,1,006,1,14,13448376,0
28,3031.141484,3031.141557,WRITE_10,248816536,32,73,1,002,1,9,248816600,0
29,3031.141575,3031.142278,SYNCHRONIZE_CACHE,0,0,703,1,002,1,10,0,0
30,3031.142284,3031.142303,WRITE_10,248816600,4,19,1,002,1,11,248816608,0
31,3031.142309,3031.143031,SYNCHRONIZE_CACHE,0,0,722,1,002,1,12,0,0
32,3031.143161,3031.143248,WRITE_10,248816608,40,87,1,002,1,15,248816688,0
33,3031.143269,3031.143960,SYNCHRONIZE_CACHE,0,0,691,1,002,1,16,0,0
34,3031.143966,3031.143986,WRITE_10,248816688,4,20,1,002,1,17,248816696,0
35,3031.143992,3031.144654,SYNCHRONIZE_CACHE,0,0,662,1,002,1,18,0,0
36,3031.145673,3031.145694,WRITE_10,320081960,4,21,1,006,1,15,320081968,0
37,3031.145746,3031.145782,WRITE_10,248816696,12,36,1,002,1,19,248816720,0
38,3031.145804,3031.146457,SYNCHRONIZE_CACHE,0,0,653,1,002,1,20,0,0
39,3031.146465,3031.146485,WRITE_10,248816720,4,20,1,002,1,21,248816728,0
40,3031.146491,3031.147222,SYNCHRONIZE_CACHE,0,0,731,1,002,1,22,0,0
41,3033.612321,3033.614211,READ_10,330857936,24,1890,1,006,1,16,330857984,0
42,3033.614323,3033.614602,READ_10,61484952,72,279,1,006,1,23,61485096,0
43,3033.615049,3033.615176,READ_10,61488896,16,127,1,006,1,24,61488928,0
44,3033.642570,3033.642665,READ_10,61486208,12,95,1,006,1,25,61486232,0
45,3033.642578,3033.642673,READ_10,61486240,4,95,2,006,1,26,61486248,0
46,3033.642604,3033.642690,READ_10,61486336,4,86,3,006,1,27,61486344,0
47,3033.642709,3033.642832,READ_10,61483712,4,123,1,006,1,28,61483720,0
48,3033.642748,3033.642994,READ_10,61483776,64,246,2,006,1,29,61483904,0
49,3033.643630,3033.643752,READ_10,190404096,8,122,1,007,1,7,190404112,0
51,3033.643682,3033.643967,READ_10,190404160,68,285,3,007,1,9,190404296,0
50,3033.643638,3033.643975,READ_10,190404128,4,337,2,007,1,8,190404136,0
52,3036.162732,3036.164506,WRITE_10,248816728,64,1774,1,002,1,23,248816856,0
53,3036.164598,3036.165318,SYNCHRONIZE_CACHE,0,0,720,1,002,1,30,0,0
54,3036.165327,3036.165348,WRITE_10,248816856,4,21,1,002,1,0,248816864,0
55,3036.165356,3036.166019,SYNCHRONIZE_CACHE,0,0,663,1,002,1,1,0,0
56,3036.234458,3036.234539,WRITE_10,118770104,4,81,1,002,1,2,118770112,0
57,3036.234506,3036.234550,WRITE_10,330876816,4,44,2,004,1,18,330876824,0
58,3036.234509,3036.234560,WRITE_10,330878928,4,51,3,004,1,19,330878936,0
59,3036.234510,3036.234572,WRITE_10,330878984,4,62,4,004,1,20,330878992,0
60,3036.234511,3036.234581,WRITE_10,330879424,4,70,5,004,1,21,330879432,0
61,3036.234513,3036.234591,WRITE_10,330880768,4,78,6,004,1,22,330880776,0
62,3036.234514,3036.234601,WRITE_10,330881768,4,87,7,004,1,23,330881776,0
63,3036.234515,3036.234612,WRITE_10,330882232,4,97,8,004,1,31,330882240,0
64,3036.234681,3036.234726,WRITE_10,330883944,16,45,1,004,1,3,330883976,0
65,3036.234685,3036.234737,WRITE_10,330884216,4,52,2,004,1,4,330884224,0
66,3036.234685,3036.234748,WRITE_10,330884256,4,63,3,004,1,5,330884264,0
67,3036.234686,3036.234782,WRITE_10,330884288,16,96,4,004,1,6,330884320,0
68,3036.234687,3036.234809,WRITE_10,330884344,12,122,5,004,1,7,330884368,0
69,3036.234688,3036.234820,WRITE_10,330884384,4,132,6,004,1,10,330884392,0
70,3036.234689,3036.234830,WRITE_10,330884408,4,141,7,004,1,11,330884416,0
71,3036.234808,3036.235225,WRITE_10,138077464,204,417,4,004,1,12,138077872,0
72,3036.235298,3036.235328,WRITE_10,330884424,8,30,1,004,1,13,330884440,0
73,3036.235301,3036.235369,WRITE_10,330884456,20,68,2,004,1,14,330884496,0
74,3036.235302,3036.235381,WRITE_10,330884520,4,79,3,004,1,15,330884528,0
75,3036.235303,3036.235392,WRITE_10,330884536,4,89,4,004,1,16,330884544,0
76,3036.235304,3036.235404,WRITE_10,330884592,4,100,5,004,1,17,330884600,0
77,3036.235305,3036.235430,WRITE_10,330884616,12,125,6,004,1,18,330884640,0
78,3036.235305,3036.235442,WRITE_10,330884664,4,137,7,004,1,19,330884672,0
79,3036.235346,3036.235634,WRITE_10,211356240,100,288,7,007,1,10,211356440,0
80,3036.235711,3036.235733,WRITE_10,330884688,4,22,1,004,1,20,330884696,0
81,3036.235714,3036.235775,WRITE_10,330884712,20,61,2,004,1,21,330884752,0
82,3036.235715,3036.235787,WRITE_10,330884768,4,72,3,004,1,22,330884776,0
83,3036.235716,3036.235828,WRITE_10,330884792,20,112,4,004,1,23,330884832,0
84,3036.235725,3036.235840,WRITE_10,54823776,4,115,5,007,1,11,54823784,0
85,3036.235728,3036.235873,WRITE_10,54823808,16,145,6,007,1,12,54823840,0
86,3036.235730,3036.235884,WRITE_10,54824032,4,154,7,007,1,13,54824040,0
87,3036.235731,3036.235917,WRITE_10,54824064,16,186,8,007,1,14,54824096,0
88,3036.236028,3036.236051,WRITE_10,320081960,4,23,1,002,1,3,320081968,0
89,3036.236032,3036.236063,WRITE_10,330844064,4,31,2,002,1,4,330844072,0
90,3036.236033,3036.236074,WRITE_10,190411544,4,41,3,002,1,5,190411552,0
91,3036.236034,3036.236085,WRITE_10,190412728,4,51,4,002,1,6,190412736,0
92,3036.236036,3036.236097,WRITE_10,190412744,4,61,5,002,1,7,190412752,0
93,3036.236037,3036.236115,WRITE_10,190413088,8,78,6,002,1,8,190413104,0
94,3036.236039,3036.236158,WRITE_10,190413480,20,119,7,002,1,9,190413520,0
95,3036.236039,3036.236167,WRITE_10,54977568,4,128,8,002,1,10,54977576,0
96,3036.236278,3036.236310,WRITE_10,330844272,8,32,1,003,1,19,330844288,0
97,3036.236284,3036.236322,WRITE_10,330844472,4,38,2,003,1,20,330844480,0
98,3036.236285,3036.236333,WRITE_10,330844640,4,48,3,003,1,21,330844648,0
99,3036.236286,3036.236345,WRITE_10,330844824,4,59,4,003,1,22,330844832,0
100,3036.236288,3036.236356,WRITE_10,330845016,4,68,5,003,1,23,330845024,0
101,3036.236289,3036.236367,WRITE_10,330845112,4,78,6,003,1,24,330845120,0
102,3036.236290,3036.236379,WRITE_10,330845248,4,89,7,003,1,25,330845256,0
103,3036.236291,3036.236389,WRITE_10,330845264,4,98,8,003,1,26,330845272,0
104,3036.236460,3036.236482,WRITE_10,330845296,4,22,1,003,1,27,330845304,0
105,3036.236463,3036.236493,WRITE_10,330845672,4,30,2,003,1,28,330845680,0
106,3036.236464,3036.236505,WRITE_10,330845776,4,41,3,003,1,29,330845784,0
107,3036.236465,3036.236516,WRITE_10,330846064,4,51,4,003,1,30,330846072,0
108,3036.236465,3036.236528,WRITE_10,330846376,4,63,5,003,1,0,330846384,0
109,3036.236468,3036.236540,WRITE_10,330846552,4,72,6,003,1,1,330846560,0
110,3036.236469,3036.236551,WRITE_10,330846752,4,82,7,003,1,2,330846760,0
111,3036.236470,3036.236561,WRITE_10,330846784,4,91,8,003,1,3,330846792,0
112,3036.236618,3036.236640,WRITE_10,330846848,4,22,1,003,1,4,330846856,0
113,3036.236621,3036.236651,WRITE_10,330846872,4,30,2,003,1,5,330846880,0
114,3036.236622,3036.236670,WRITE_10,330847096,8,48,3,003,1,6,330847112,0
115,3036.236623,3036.236681,WRITE_10,330847176,4,58,4,003,1,7,330847184,0
116,3036.236624,3036.236693,WRITE_10,330847224,4,69,5,003,1,15,330847232,0
117,3036.236626,3036.236704,WRITE_10,330847488,4,78,6,003,1,16,330847496,0
118,3036.236627,3036.236716,WRITE_10,330847744,4,89,7,003,1,17,330847752,0
119,3036.236628,3036.236726,WRITE_10,330848024,4,98,8,003,1,18,330848032,0
120,3036.236787,3036.236809,WRITE_10,330848192,4,22,1,003,1,19,330848200,0
121,3036.236790,3036.236827,WRITE_10,330848560,8,37,2,003,1,20,330848576,0
122,3036.236791,3036.236839,WRITE_10,330848912,4,48,3,003,1,21,330848920,0
123,3036.236792,3036.236850,WRITE_10,330848968,4,58,4,003,1,22,330848976,0
